message,answer
"да , так и есть .",и я не мог его достать .
кто - то пытался ей воспользоваться в магазине в 2 милях отсюда .,так что я проверила записи с камер местных банков .
нет !,"почему "" нет "" ?"
на небесах всё хорошо,♪ не умирает просто так
не хочешь сбежать ?,"нет , я не хочу ."
мхм .,е
снова .,что случилось ?
"я надеялся , что тебе понравится идея купить в ней место под рекламу , чтобы помочь спасти шоу .","нет , лучше - это реклама в сети ."
"помогите мне . . . """,чем я могу помочь ?
это данные тестов .,"вы не говорили , что прошли тест ."
вау !,угадай кто уверен в твоей готовности к сдаче теста .
извини .,тебе не за что извиняться .
"пора ехать , мне нужно успеть на поезд .",поезда ?
"нет . капитан , я не изучал право , но полагаю , что когда существует только один свидетель выстрела , то это виновный .","да , но я . . . я только вел машину . я ждал в машине ."
это было здорово .,вам понравилось ?
ты величайший .,я не такой !
"уолтер думает , что это кабинет белла .","может быть , он просто старше её ."
"это единственное , о чём я сейчас могу думать .",концентрироваться - значит думать
"я думаю , что вы думаете , что является сломанный пони .",мы совершенно уверены .
"хорошо , я понял .",вот и всё .
у меня есть сотрудники .,у тебя есть работа .
да ?,да .
и он не может сейчас играть .,"ну , может ему и не нужно ."
это он ?,он самый .
"однажды , нас одолела чума .","вообще - то , дом нашего детства ."
боже !,что всё это значит ?
"хэй , помнишь тот компьютер с помощью которого аманда шантажировала конрада ?","в ту ночь , когда ты исчезла ? да , его я очень хорошо помню ."
конец связи,ты не можешь уйти !
в следующий раз мы ее приведем !,"всегда "" в следующий раз "" !"
так .,"без обид , ладно ?"
"макс , сукин ты сын .",не выражайся .
это длится уже 8 месяцев .,восемь месяцев ?
господи !,"тихо , тихо ."
"я хочу видеть вас в моём кабинете через 5 минут , лейтенант !","мы назначим встречу . хорошо , это займет всего несколько минут ."
"всё идёт не так , как я представлял день крещения своего сына .",и твоё богатство при тебе такой же срок .
какую девушку ?,с любой .
не хотите чаю ?,хотим .
что это значит ?,"то , это и означает ."
"не знаю , помните ли вы меня , но мы встречались когда - то в вашей группе поддержки .","нет , не встречались ."
пойдем сегодня вечером к джо и будем праздновать .,только в этот вечер я буду свободен .
это не быстрая ложь от мозга .,это ложь !
сантанико .,ƒрузь€ !
"о тех , кого ты убил ?","о тех , кого ты убил ?"
кроме тебя .,ой .
увидишь падающую звезду - загадай желание !,загадать желание ?
мы собираемся продолжить вторую половину .,ну так давайте .
поеду заберу ее .,заберешь куда ?
я насчитал по два каждый год .,пять лет ! пять лет !
да .,и я не мог его достать .
он уже слишком много знает .,"я бы сказал , знает его лучше , чем кто бы то ни было ."
моя бывшая жена умерла в пожаре в бостоне .,"спустя неделю после ее смерти мне доставили амулет , который при жизни она носила на шее ."
ну да .,"если вдруг у тебя не получится , я уверена , что они готовы принять тебя обратно ."
"я убедила охранника и он согласился , чтоб ты позвонил своей дочери .","он не поверил , что у меня нет денег ."
посмотри на себя !,ты такая красивая !
здесь все .,где же ?
"* и пожалуйста , не плачь *",* я перестала плакать *
что это была за чертовщина ?,что случилось ?
"и харрисон сказал : "" но я младший брат "" .","младшая сестра хорошо , еще раз"
я не хотел этого делать .,"я не хотел , чтобы кто - то пострадал ."
"да , мы можем !", мы  ?
"полагаю , я могу рассчитывать на некоторую благодарность от джона ?",разумеется .
круто .,"тремор , да ?"
"джейк , зачем ты пригласил сюда тедди ?","я не хотела , чтобы он уезжал ."
назад .,и не двигайся .
"если они их заберут , больше их никто не увидит .","они убьют тебя и всех тех кто , как они думают , могут знать об этом ."
я ничего не помню .,а я помню .
"ты сбежала , помнишь ?","да , я всё помню ."
потеряла ?,та сумочка была взята на время из бутика .
нет ?,"да , нет ."
как только я здесь закончу .,"нет , не продолжишь ."
"если купол их изменяет , тогда . . .",они целятся в прожекторы .
у вас нет жены ?,нет жены .
"хотел узнать , есть ли у тебя тот список .","не , я не знаю ."
отец !,"отец , послушай меня , пожалуйста !"
нет . дело не в этом .,а в чём ?
чай ?,обычный кофе .
не бросай меня тут .,"нет , я тебя не брошу ."
ешь .,я не очень голодна .
я не брошу работу ради детей .,"и , конечно , для собственных детей ."
что .,"что слышал , остановись ."
и тебя !,и тебя .
присоединяйтесь ко мне .,"шеф сказал "" сейчас "" ."
сейчас буду .,через 20 минут .
"простите меня , эми юргенс в этом классе ?",боже мой ! вам не за что извиняться .
"ты не хочешь спросить , как все прошло с эммой ?","конечно , хочу ."
"он не представляет , насколько опасен ураган .",вы будете в безопасности .
"советник , а что бы вы хотели , чтобы она имела в виду ?","для чего может потребоваться больше мужества , чем рассказать о местонахождении своего сына ?"
"я кричала , пока соседи не вызвали 911 .",рон твой сосед ?
"не существует 61 - го штата , а это значит . . .",это - гребаная цифра !
да .,и я не мог его достать .
ну ?,"ну , давай еще разок ."
оставайся на месте !,"нет , лукас ! мы спасём его ."
"пока ! пока , мосс !",до встречи !
спасибо,пожалуйста .
"может , он сейчас переводит .","не сомневаюсь , что он справится ."
круто .,"ну , пойдём ."
я не в порядке !,"а вы , юная леди , заставили меня волноваться ,"
и ты был прав наш первый раз должен быть не таким .,я всегда прав .
"ты прав , титус .","пожалуйста , зови меня сэнди ."
"но в отличие от антител , у них есть чувства .","в конце концов , они начинают атаковать клетки мозга , вместо опухоли ."
очнись .,этот дом пытается помочь .
очень скоро .,скоро .
"вслух , вы полоска мочи .","я такой : "" в натуре ? """
нет .,ладно .
ничего полезного .,не совсем .
его сегодня нет .,а зачем ты тогда взял еду ?
намного лучше .,это обнадёживает .
мы были очень . . .,мы были так полны ожидания . . .
"мне плевать , что он брат генри .",он наш отец .
"о , боже !",он такой грустный .
этого достаточно .,я знаю .
это такое неудобство .,мне семью кормить надо .
не знаю . я немного растеряна .,"будьте добры , на минутку ."
возникли осложнения после переливания крови .,она поправится ?
это кибуц .,я знаю многих китов .
где мой дядя ?,я не прячу .
"где , на втором этаже ?","иди прямо до угла , там налево ."
она отравила николая .,я ничего ей не сказала .
спасибо всем .,и вам спасибо .
"энди , я тебя видел .",и что ты видел . . ?
"немного , вчера после тренировки .",осложнения были ?
я думаю я знаю что означает сообщение слепого человека .,а он знает ?
было очень неприятно . да ?,да . что - то было .
придерживай левой .,круг левой . круг правой .
башня пала .,нагоним ее на ближайшей станции .
в глубине ящика есть бутылочка с таблетками .,"на ней написано : "" выпить все таблетки с водой """
поездка мне не понравилась .,поговорить с ней о поездке на юг ?
"и реджи сказал , что эти места наши до конца сезона .",но руководитель отдела должен был прилететь из вашингтона .
да .,отлично .
ты когда - то прекратишь драматизировать ?,прекращу что ?
" но вот я заболела , и больше не могу быть рядом  .",но ты сможешь жить .
использовать его против нас ?,"нет , и не попытаюсь навредить той , которая его написала ."
добро пожаловать всем .,здравствуй .
"тогда убирайся , пока я не запустил эту стрелу тебе между глаз .",ты же не пристрелишь меня .
"думаю , я бы запомнила , если бы встречалась с парнем в очках .",но он видел тебя .
"танго и кэш ,",скрудж .
без продовольствия они умрут через несколько дней .,и возможно гмо могут покончить с голодом в мире
"может , стив нам объяснит .","может , стив нам объяснит ."
сучка .,потаскуха !
а я лишь выбор месяца .,ты заставил меня ждать три месяца .
"то , что она сумасшедшая не значит , что она не заслуживает отличного лечения .",и только лишь в случае его раскаяния и их удовлетворения .
"джек , я не писала тебе .",это было твое решение .
но существуют различные способы определения днк,есть сотни теорий .
ага .,и давно ты здесь живешь ?
что за запах ?,"пахнет чем - то очень сладким , как гнилой фрукт ."
соединенные штаты могут послать войска в средний восток если русские не выведут свои войска из ирана .,у албанцев есть флот ?
ага !,и это только начало .
"я имею ввиду , может она утонула , или . . . это случилось при пожаре ?",вряд ли землетрясение вызвало такие помехи .
просто опаздываю на совещание .,"повезло , что сегодня тут суета ."
я не дала им его вытащить .,заставил бы ?
"честно говоря , я ближе к разгадке смысла жизни .",второй шаг - это ответ .
только рисунок .,"но это молит об ответе , зачем ты меня нарисовала ?"
"как же , не смогу !",можешь !
"о , боже .",прекрати .
выбрать чемпиона среди таких прекрасных солдат,хороших солдат .
"нэнси , я тут подумал , что тебе понадобится речь .","я всегда понимал , что мне нужно от тебя ."
я могу постоять за себя,"нет , не можешь ."
"и , думаю , я могу это обеспечить .",конечно ты можешь .
"но да , там кто - то был .",сперва я подумал это были они .
я ничего не помню .,"помню только , что вы были в каких - то . . . белых брюках ."
"хорошо , подождите секунду .","быстрее , пожалуйста ."
вернулся к своим родителям ранее сегодняшним днем,"и что он без памяти влюбился в девушку , которая была его секретарем ."
пойдешь со мной .,"нет , не иду ."
"да , я пойду .",стой !
"да , да , мы все очень рады , что джош идёт на свидание .",желаю вам счастья .
есть тут кто ?,"да , капитан , мы здесь ."
за расти джеймса !,элис сама не справится !
это было слишком много за один день ?,слишком долго !
"и хотя это соревнование , это еще и праздник .",это праздник тыкв .
постой ., о  .
"ну , как ?",не важно как .
"давай , обыщи .",пошли .
отлично .,прекрасно .
благодарю вас .,вам спасибо .
"к сожалению , я - просто я .","то есть , ты . . ты всегда делала что - то неожиданное , в отличие от меня ."
мне нужно работать .,работай в офисе .
"ты уверен , что они вместе отправились в эту деревню ?",я уже ни в чем не уверен .
фу !,тупица !
добрые дела в посёлке не проходят безнаказанно .,да . но моего начальника больше заботят земные преступления .
"ты знаешь , что он и . . .",знаю что ?
"привет , отец .",папа передает привет .
я не закрыл шкаф после стрельбы на прошлой неделе .,покрывалом !
сюда .,вон туда .
"осторожно , дядя щип !","всё нормально , дедушка . он не кусается ."
мне пора .,"нет , прошу тебя . не уходи ."
"ты говоришь , что макнамара все это время были замешаны ?","нет , потому что он до сих пор бармен ."
"ну ладно , извини .",не нужно извиняться .
"ну , видимо они много потрудились , чтобы найти воду .",но вкус другой .
я должна увидеть короля немедленно .,влезай на чертову гору .
боб ?,откуда бобу его знать ?
спасибо .,да не за что .
нет . он обманом затащил меня в постель .,хорош в постели .
вы можете их себе купить ?,"нет , спасибо ."
"может , вон туда ?",но если там будет бассейн .
"нет , как . . . как давно ты его знаешь ?",около трёх лет . кажется так .
нет .,ральф андерсон ?
я не виню вас в произошедшем .,мы не подведем .
ты найдешь его на центральном рынке .,я найду его !
она заслужила это !,что я делала ?
быстро .,ещё быстрее .
я собираюсь поспать .,а я сплю .
простите .,не извиняйся .
я иду первым и возьму сумку .,вот и иди .
"если бы они не "" убрали "" омара , то всё свелось бы к тому , обменивать ли их человека на нашего . . .",у вас есть какие - то подозреваемые или зацепки ?
"люди догадаются , что мы не местные .",нечего скрывать .
я б дал ей . . . семерку .,она бы никому не сказала .
"ты в курсе , что я получил деньги ?","нет , это я продал ."
куда собралась ?,домой .
"сэр , если хотите моё мнение , вы вели себя как настоящий виктор эммануил iii .","и возможно , вы , наконец , можете поработать вместе над тем , чтобы быть его родителями ."
кто ?, кто  ?
я только одно могу сказать : я вчера гордился старшим братом .,"тебе уже 15 лет , поэтому он твой по праву . согласен ?"
5000 песо жемчугом .,"500 , так ."
это мне ?,"нет , это для старушки , которая живёт у тебя в носу ."
джек ?,джек . . .
я не мог .,"конечно , не могли ."
попал в команду в этом году ?,в сан - хосе .
"может быть , это знак того , что мы не вполне готовы , что . . .","он сказал , должно случиться что - то ужасное , но мы можем это остановить ."
"нет , мама , его тут нет .",чего нет ?
"ты знаешь , что тебя могли арестовать ?",у меня есть веские и достаточные основания подозревать тебя в совершении преступления .
и не беспокойся .,не беспокойся .
ладно ?,что ну ?
"ну , я это . . .","держите его , это он !"
войска и высшее руководство .,и медикаменты со среднего востока .
она тайно встречалась с этим мужчиной .,"а она сказала : "" какая разница , я бросила его после пары свиданий "" ."
пойду чуть - чуть попозже .,вот и иди .
ради бога . . .,вы хотите умереть ?
что ещё не так ?,что же не так ?
"# скажу тебе , не слишком весело .","# все , что я знаю — ты придержал за мной дверь ,"
я доставлю королеве голову .,королеву !
"я здесь , чтобы исправить эту ошибку .",он не совершит ту же ошибку снова .
"мы здесь что - то упустили , уэсли .","да , вот мы здесь ."
вот чёрт .,о какой сумме идёт речь ?
"питер , это совсем не безопасно .",безопасно .
штази знали всё .,но теперь - то знаете .
"теперь , масло .",немного масла .
это его работа . . .,"в его случае , он - моя работа : так кто бы не захотел меня нанять ?"
"нет , конечно .",тогда в чём дело ?
"он хочет , чтобы вы , чтобы проинформировать его .",будет грубостью не позволить ему .
аах !,кот !
она будет в порядке,"ну , я надеюсь на это ."
не я .,"но ты знаешь , кто ."
но ?,потом я встретил тебя и . . .
"ох , не мели чепухи , на мне очки",какие очки ?
"думал , это твоя работа .","нет , моя работа - составить график , который ты испортил ."
только не смейся над его именем .,я не буду смеяться .
идём .,куда идете ?
у нас контракт .,контракта ?
уровень входного сигнала в порядке .,"я не знаю , можно ли его починить ."
ты мне не поможешь ?,поможешь с чем ?
прости .,за что ? за что ты извиняешься ?
кексы готовы .,готовы к чему ?
малыш кевин .,милый ?
нфо на вашей стороне .,"но защитить вас смогу , только если пойму , как рассуждает противная сторона ."
советую тебе поступать так же .,не прикасайся ко мне !
приятно познакомиться .,и мне очень приятно .
ладно .,держи .
держи .,"спасибо , хэнк ."
я смутила вас .,"мисс майклс , с вами пока никто не разговаривает ."
уильям отвез образец из дома .,"он уехал с места преступления три минуты назад , одетый как курьер ."
"он просто принимал за должное , что ты великолепен . . . и ты действительно был великолепен .","да , вовсе постаралась , заставив меня поверить , что у меня есть шанс ."
"давай , обыщи .","хорошо , уже в пути ."
"а я и не утверждала , что ты с ней спишь .","да все уже давно знают , что ты спишь со мной ."
так вы решили делать ?,"нет , но если найдем , вы понадобитесь на судебном разбирательстве ."
"ну да , сомневаюсь что у меня получится .","не сомневайся в своих способностях ,"
увидите собственными глазами .,"и вы не сможете спокойно спать , пока будете жить ."
я навсегда запомню эти выходные .,произноси их со мной .
это было верное решение .,это было действительно прекрасно .
мы не умрем .,мы на небесах .
это говорит джор - эл .,черт ! черт !
спасибо большое .,вам спасибо .
да хватит уже !,"нет , не хватит !"
энди . . .,эм . . .
"мне очень жаль , что я уезжаю во время ваших каникул , но постарайтесь понять .","если , конечно , вы захотите , чтобы я вернулась ."
"он нашел ту же статью , что и мы .",слишком быстро ты его нашел .
ещё как имеет .,"да , содержит !"
говорил же .,"не - е чувак , не говорил ."
когда вы появились ?,сразу после вашего отъезда .
лучше всего хранить это в секрете .,я не храню .
мне там больше нравится .,мне тоже .
диетическая газировка .,слишком много соли ?
"если бы вы могли - - прошу , скажите , что есть другие варианты .","мы должны быть не здесь , чтобы искать это ."
"я не хотел , чтобы твои белые братья думали , что ты был самым лучшим ."," но мы оба знаем , что € был твоим единственным другом . "
ваша священная война может закончиться только страданиям и кровью .,эта война окончена .
иногда действительно лучше молчать,"иногда нужно сказать себе , что так будет лучше . . ."
"келли , проблемы с мужчинами всегда так тяжело переживать",у меня нет проблем с дисциплиной !
давай .,куда отправимся ?
"значит . . . может быть , ты решишь убить нас ?",я бессмертен .
но одно могу тебе сказать - я никогда больше не повторю эту ошибку .,какую ошибку ?
"а несколько месяцев назад , ты спас мою жизнь","о , я знаю , что спас , и ты у меня в долгу ."
"стой , он не отец ребенка .","то есть , он отец , но юридически . . ."
эрик франк будто трахнул меня взглядом на стоянке .,я не притворялся .
и он был там .,он был .
ласс !,зен !
вы сказали что - нибудь из этого кэсиди ?,да . нам никто не говорил .
эмили ?,"нет - нет , не эмили ."
кэмерон ?,что ?
конечно .,это так .
она не дала мне сумку .,на её месте я бы тоже не взяла .
тебя долго не было .,я был занят .
вы знаете как зовут эту женщину ?,"я думаю , келли - его собака ."
что думаешь ?,"я , наверняка , думаю противоположное , чем ты ."
"достаточно умная , чтобы свалить из этого дома .",и я не собираюсь остаться с ней .
это ловушка !,впусти !
уйди .,"я сказал , - "" уйди "" !"
"будь осторожен , хорошо ?",я всегда осторожен .
"уверен , кулинарную книгу ты оставил у себя .","это не наша книга , это моя книга ."
это мне мать когда - то пела . . .,"верно , я спел песенку , и далеки сбежали !"
"думаю , нужно ритуальный танец исполнить , чтобы он пошёл .",он будет не против .
помоги мне вытащить тебя отсюда .,я спускаюсь .
я просто хотела узнать ваше мнение .,вполне ясное представление .
с . . . с чего бы это им говорить кому - то ?,всем .
да просто попробуй .,м - м .
разве так ?,я уверена .
вы меня слышите ?,"нет , ничего не слышу ."
"куда бы они ни пошли , найдутся .","подальше на восток , как это только возможно ."
а ваш отец ?,он не наш герой .
спустите меня !,спускайтесь !
отравилась .,тебе дать холодную воду ?
всё должно быть не так .,что должно было случиться ?
ты хочешь ?,хочу .
"потише , приятель .","видишь ? ну , тише ."
она здесь ?,она точно здесь .
большинство из твоих лекарств от рака все равно отстой .,нет никакого лекарства .
"с дороги , с дороги .","понежнее с ними , мальчики ."
боится чего ?,я ничего не боюсь .
я влюбляюсь в грега .,вау .
мы поймали ведьму !,пришелец ! вы поймали пришельца !
что ?,dvd .
с удовольствием .,куда ? сюда .
разве этого недостаточно ?,конечно недостаточно .
да не могу я .,не можешь или не будешь ?
поговорим начистоту .,"да , конечно !"
ремень .,мужчина с пистолетом . %
"и ты не должен делать того , чего не хочешь , ясно ?","конечно , хочу ."
не совсем комплимент .,тогда я попытался с двумя другими женщинами и они обе уничтожили меня .
серьезно ?,"да , серьезно ."
она сидит под где - то деревом и ест яблоко pink lady .,но откуда она могла знать об этом ?
"может , лучший друг ?",единственный друг .
вы не писали !,"извините , извините !"
кусок дерьма !,ты застрелила его !
я просто собираюсь придерживаться зрительного контакта .,"словно , по - твоему , я больше вообще не могу поступать правильно ."
"ты , мать твою , жанна д ' арк что ли ?","нет , мой дядя был копом . кучу раз ."
местный,морская полиция :
иди ты в баню .,я уже там .
я даже и не подумал об этом !,вот !
помогите !,нам нужна помощь !
"в вас есть что - то . . сама не знаю , что ?",а знаете ?
"то есть на самом деле на верхнее , но это ничего не меняет .",мы не можем заблудиться .
"вам платят , чтобы вы привезли .",жри <CENSORED> уёбок !
и вы тоже .,до свидания .
"ну , пока я с тобой не познакомился , у меня такой проблемы не было .","ты должен абстрагироваться от всего , что видишь ."
как ты можешь вывести вертушку из зоны обстрела . . . но бояться легкой турбулентности ?,охрана проверяет все транспортные средства .
но я рада служить своей стране и помочь моей маме .,вы должны о себе позаботиться .
"кто , чёрт побери , это был ?",руперт грин .
она кровоточит .,сильно ?
"эээ , вот .","да , точно тебе говорю ."
"сколько вам лет , что вы играете в поезда ?",двадцать восемь .
"мне нужен телефон , э , магазина подарков . . .",дай новый магазин !
я просто спрашиваю .,"вы критикуете меня , за то , что я хочу поработать ?"
правда ? почему ?,"правда , нетрудно ."
почему ты в любом случае хочешь пойти в армию ?,ну друг . армия - это не моё .
держи .,большое спасибо .
"может , я могу помочь .",помочь мне с чем ?
я не собираюсь туда .,"если бы ты был здесь , ты бы знал , что там такое ."
смерть олсона тебя хоть чуть - чуть огорчает ?,"нет , я бы никогда не убил лебедя ."
выстрел в спину .,отверстие от 45 калибра .
"впервые с момента нашей встречи я чувствовал , что нужен ей .","я чувствовал , -"
"но мне надо в туалет . ты ревнуешь к питу , в этом дело ?",конечно .
ты не должна бродить здесь одна .,почему это я ?
"привет , я лана .",приятно познакомится .
"ах , ты просто споришь .",я правда не такой .
что ? . .,"он пытался подкупить меня перед тем , как я решила баллотироваться ."
неа .,я настаиваю .
роуэн ?,"heт , нeт , дopoгaя ."
сделай выбор до этого момента .,делай ! почти сделал .
ну . . . это что - то новенькое .,"гм , это . . . всего лишь мой племянник и шеф о ' брайен ремонтируют трубопровод ."
ты здесь всего один день и уже пытаешься все изменить .,ты тоже не изменился .
у меня были подозрения .,подробности .
"карен джонс , алиса смит .",джордан чейз ?
но одно могу тебе сказать - я никогда больше не повторю эту ошибку .,я не совершала ошибки .
миша !,"назад , миша !"
"да , разнесло окно напрочь .","постой , это я выдвигаю окно ?"
идёмте .,идемте .
"я видел , как ты убивал других вампиров ,","думала , сможешь меня обыграть , королева престолов ?"
перестань .,что ?
чуть больше .,"о , да , больше ."
это неправильно .,еще как правильно .
"не бойся , фредерика , . .","я не боюсь , джим ."
"да , сэр .","на что , сэр ?"
они не просто убивают своих жертв .,"кто сказал , что они не убийцы ?"
в какой комнате она будет спать ?,"на кухне , в подвале ."
извините .,"всё нормально , забудьте ."
он невиновен .,"не было суда , у меня не было шанса защититься !"
"извини , за мной гналась полиция .",что ты делал в полиции ?
она моя .,"нет , она не твоя ."
с кем она ?,с тёлкой .
снимите его с меня !,зачем же ? я сразу его надену .
"не ты , бетти .",и кто тогда ?
зачем ?,"затем , что у нас будет ребенок ."
"у неё на лице написано : "" богатая стерва "" .", звезда . 
я вижу закат в саду .,белые горы . . . солнце . . .
обалдеть !,"иногда , я сама себе удивляюсь ."
почему ?,что почему ?
"а что , уже пора ?",ещё не время .
"да , я пойду .",если позволишь пойти с тобой .
"правильно , но по колено в грязи все тормозят .","правильно , но по колено в грязи все тормозят ."
"может стоит найти время , чтобы заехать туда ?","сейчас не лучшее время для визита , дорогой ."
"* и пожалуйста , не плачь *",* ведь на земле мы не навсегда . *
"я годами смотрела на тебя , аттикус .","ну , что я могу сказать ? у меня много талантов ."
она находится в черной кожаной сумке у неё в доме .,"на руках мозоли , так что , думаю , она не из этого района ."
да не может быть .,еще как может .
диван начал танцевать и напал на меня !,кто укусил тебя за ногу ?
вынести что ?,что я действительно отвратителен .
"это не имеет смысла , никто из нас не яйца",большинство вещей имеет .
вот оно .,ап .
я не знаю .,знаешь .
"если бы мы нашли возможность вернуть ее в школу , уверена , она смогла бы получить стипендию в университете .",и она преподавала в нашей старой школе .
вон он .,ты видишь его ?
ты иди туда .,вот и схожу .
"это очевидно , не так ли ?","да , очевидно ."
"я знаю , что это так не выглядит , молли но вы очень хорошо справляетесь .",но вы должны хотя бы чувствовать что - то .
"обещайте моему клиенту неприкосновенность прежде , чем он предъявит своё алиби . я упомяну об этом прокурору .","тогда я тоже поговорю со своим адвокатом , с ким ."
!,"угрей , полных эстрогена ?"
никакой пощады .,"в крайнем случае , одного ."
"ну , это не ее джинсы .","ну , она точно их надевала ."
"когда одного из наших ординаторов , выберут для самостоятельной операции кого - то из нас возьмут ассистировать , и этим мы зарабатываем преимущество .",мы и есть команда .
хорошо .,"а теперь , как вы собираетесь назвать меня ?"
"мы заключаем из этого , что церковь это невеста христа .",слишком поздно для церкви .
"когда одного из наших ординаторов , выберут для самостоятельной операции кого - то из нас возьмут ассистировать , и этим мы зарабатываем преимущество .","и на что вы готовы , чтобы защитить сына от неверующих ?"
"сколько вам лет , что вы играете в поезда ?",а вы сколько дадите ?
когда ты стал таким сентиментальным ?,"наверное , месяца два назад , примерно в то время , когда все здесь начало меняться ."
туалет !,я не имела ввиду грязный туалет .
лидия была права .,права насчёт чего ?
я не хотела бы быть в другом месте .,во мне .
да ?,конечно она меньше .
"может , в другой раз .",в другой раз .
у тебя есть костюм ?,костюм ?
это будет безопасней .,в полной безопасности .
"знаешь , когда мои подросли , мы с мужем посмотрели друг на друга , и такие "" всё , шоу закончилось .","но все , что мы могли , это оставаться в тишине ."
это на аренду офиса ., торговый центр . 
лезет без очереди !,дедовщина !
тебе нужна свежая струя .,"я ее создаю , чувак ."
"привет , сосед !",здравствуй !
"думаете , это какая - то игра , леди ?","нет , он один из самых популярных персонажей видео игр всех времен ."
я ничего такого не делала !,ага .
"думала , что да .","боюсь , я не смогу присутствовать ."
потому что моя жена ни за что не должна вступать в такую квартиру .,разве брак на что - то влияет ?
вам уже поздно беспокоиться .,кто сказал поздно ?
"зайти , выйти .",вот туда .
это образовательный процесс .,"шесть лет назад , учитель ."
"надо было поработать , доделать балкон .",но я не смог .
счастлив ?,"нет , я не счастлив , елена ."
"ты знаешь , моя девушка погибла .",неожиданно .
но оно правильное .,"да , взгляни - ка ."
"да , но возможны осложнения .","я думаю , что лечение потенциальных жизненных заболеваний важнее чем косметические операции , др . слоун ."
смешной мальчишка !,хороший !
"реально казалось , что до чертиков напуган тем , что я знаю о его причастности . .",он никогда не умел врать .
"я подумал , что тебе нужна помощь .","нет , спасибо , всё в порядке"
что ты здесь делаешь,встречаюсь с коллегой с работы .
"увидимся позже , дорогуша .",не опаздывай .
некоторые очень даже ничего . . .,я последняя вижу их в таком состоянии .
